Word,Iconicity,ipa,1_syl,2_son,3_cons,4_cont,5_delrel,6_lat,7_nas,8_strid,9_voi,10_sg,11_cg,12_ant,13_cor,14_distr,15_lab,16_hi,17_lo,18_back,19_round,20_velaric,21_tense,22_long,23_hitone,24_hireg,phon_pred
literalize,0.3333333333333333,lɪtɹ̩əlajz,0.4444444444444444,0.7777777777777778,0.4444444444444444,0.8888888888888888,0.0,0.2222222222222222,0.0,0.0,0.8888888888888888,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.0,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.4274865718716345
ideology,0.5166666666666666,ajdiɑləd͡ʒi,0.5555555555555556,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.4274721380683891
wry,0.3999999999999999,ɹaj,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.4274704731299419
rye,0.3484848484848484,ɹaj,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.4274704731299419
ire,0.5128205128205128,ajɹ,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.4274704731299419
constitutionalism,0.2962962962962963,kənstɪtuʃənəlɪzəm,0.4117647058823529,0.6470588235294118,0.5882352941176471,0.6470588235294118,0.0,0.0588235294117647,0.1764705882352941,0.0,0.7058823529411765,0.0,0.0,0.4705882352941176,0.4705882352941176,0.0588235294117647,0.1176470588235294,0.2352941176470588,0.0,0.3529411764705882,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0,0.0,0.4274664104869813
Realtor,0.211111111111111,ɹiəltɹ̩,0.5,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.0,0.1666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.0,0.5,0.3333333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,0.4274517310420608
satisfy,0.25,sætəsfaj,0.375,0.5,0.5,0.875,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.5,0.375,0.0,0.125,0.125,0.25,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.4274509288440733
billion,0.3636363636363636,bɪljən,0.3333333333333333,0.8333333333333334,0.5,0.6666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,1.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.427429366207914
extensible,0.3214285714285714,ɪkstɛnsəbəl,0.3636363636363636,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.0,0.0909090909090909,0.0909090909090909,0.0,0.6363636363636364,0.0,0.0,0.5454545454545454,0.4545454545454545,0.0,0.0909090909090909,0.1818181818181818,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.42741975382754493
deceivable,0.3166666666666666,dɪsivəbəl,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.0,0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.5555555555555556,0.3333333333333333,0.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.42740391439808323
devotional,0.3484848484848484,dɪvowʃənəl,0.4,0.7,0.5,0.8,0.0,0.1,0.1,0.1,0.9,0.0,0.0,0.4,0.4,0.1,0.2,0.2,0.0,0.4,0.2,0.0,0.1,0.0,0.0,0.0,0.4273892021140842
mortal,0.2999999999999999,mɔɹtəl,0.3333333333333333,0.8333333333333334,0.5,0.6666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,0.8333333333333334,0.0,0.0,0.6666666666666666,0.5,0.0,0.1666666666666666,0.1666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.4273802439057628
